,brand,style,fabric,trims,item,description,position,qty,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,outer,inner
26,airblaster,AB19MP2_054-170228,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
27,airblaster,AB19MP2_054-170228,0,1,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,black,black,black,black,,,,,1,0
28,airblaster,AB19MP2_054-170228,0,1,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,white,white,white,white,,,,,1,0
29,airblaster,AB19MP2_054-170228,0,1,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,white,white,white,white,,,,,1,0
0,airblaster,B-AB19WP3_116,1,0,shell fabric,sotp069-c1-h 100% polyester  15k/10k+2-layer +breathable coating+dwr (supplied by solis),main body,none,tbd,tbd,tbd,tbd,,,,,1,0
1,airblaster,B-AB19WP3_116,1,0,lining,210t-e emb07 terry emboss taffeta - (supplied by ecoya),inside lining,none,tbd,tbd,tbd,tbd,,,,,1,0
2,airblaster,B-AB19WP3_116,1,0,other, velvety tricot - soto048-1 (supplied by solis),"at inside waistband, inside hand pockets at front panels only, inside fly",none,tbd,tbd,tbd,tbd,,,,,1,0
3,airblaster,B-AB19WP3_116,1,0,other,nylon/elastic lycra - sono029-1 (supplied by solis),"lower leg gators, internal crotch gusset",none,tbd,tbd,tbd,tbd,,,,,1,0
4,airblaster,B-AB19WP3_116,0,1,zipper,"no.5 ykk nylon coil zippers, auto-lock slider da8lh ",fly ,1,tbd,tbd,tbd,tbd,,,,,1,0
5,airblaster,B-AB19WP3_116,0,1,zipper,"no.5 ykk zippers, auto-lock slider da8lh1 (swivel head) (zippers close from c.b. to side seam)",front pockets (3),3,tbd,tbd,tbd,tbd,,,,,1,0
6,airblaster,B-AB19WP3_116,0,1,zipper,"no.5 ykk zippers, auto-lock slider da8lh1 (swivel head) (zippers close from c.b. to side seam)",back pocket,1,tbd,tbd,tbd,tbd,,,,,1,0
7,airblaster,B-AB19WP3_116,0,1,zipper pull,abzp_01 utility cord pulls,(4) pockets,4,tbd,tbd,tbd,tbd,,,,,1,0
8,airblaster,B-AB19WP3_116,0,1,velcro,hook and loop w: 1.6cm x h: 3 cm,(4)under pocket flaps,4,tbd,tbd,tbd,tbd,,,,,1,0
9,airblaster,B-AB19WP3_116,0,1,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)","bang snaps (2), cf closure(2)",4,tbd,tbd,tbd,tbd,,,,,1,0
10,airblaster,B-AB19WP3_116,0,1,hardware,12mm metal eyelet  (incl. washers),front waistband 5cm each side of center front (2),2,tbd,tbd,tbd,tbd,,,,,1,0
11,airblaster,B-AB19WP3_116,0,1,hardware,"abel_01 metal airblaster eyelet (incl. washers, supplied by wellsucceed)",front left belt loop,1,tbd,tbd,tbd,tbd,,,,,1,0
12,airblaster,B-AB19WP3_116,0,1,hardware,metal hook closure,at inside waistband,1,black oxidized,black oxidized,black oxidized,black oxidized,,,,,1,0
13,airblaster,B-AB19WP3_116,0,1,hardware,metal lace hooks,at inside lower leg gaiters,2,black oxidized,black oxidized,black oxidized,black oxidized,,,,,1,0
14,airblaster,B-AB19WP3_116,0,1,drawcord,polyester flat lace drawcord with metal sealed ends.  w:1 cm,waistband,1,tbd,tbd,tbd,tbd,,,,,1,0
15,airblaster,B-AB19WP3_116,0,1,elastic,gripper elastic,at inside lower leg gators,1,black,black,black,black,,,,,1,0
16,airblaster,B-AB19WP3_116,0,1,key clip,plastic key clip attched with webbing loop,inside w. right pocket,1,black,black,black,black,,,,,1,0
17,airblaster,B-AB19WP3_116,0,1,webbing,8 mm width webbing,key clip attachment  at wearer's right inside pocket,1,black,black,black,black,,,,,1,0
18,airblaster,B-AB19WP3_116,0,1,main label,tbd,inside c.b. waist see q/a for detail,1,tbd,tbd,tbd,tbd,,,,,1,0
19,airblaster,B-AB19WP3_116,0,1,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,tbd,tbd,tbd,tbd,,,,,1,0
20,airblaster,B-AB19WP3_116,0,1,w/c label/content,satin with print (same as 12/13 label),"at inside side seam, 8 cm down from waistband seam",1,black,black,black,black,,,,,1,0
21,airblaster,B-AB19WP3_116,0,1,flag label,ablt_01 logo flag label (airpill side),inside of right back pocket 3cm from top of pocket,1,black/white,black/white,black/white,black/white,,,,,1,0
22,airblaster,B-AB19WP3_116,0,1,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back waist seam,1,tbd,tbd,tbd,tbd,,,,,1,0
23,airblaster,B-AB19WP3_116,0,1,branding,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
24,airblaster,B-AB19WP3_116,0,1,branding,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
25,airblaster,B-AB19WP3_116,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
26,airblaster,B-AB19WP3_116,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
27,airblaster,B-AB19WP3_116,0,1,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,black,black,black,black,,,,,1,0
28,airblaster,B-AB19WP3_116,0,1,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,white,white,white,white,,,,,1,0
29,airblaster,B-AB19WP3_116,0,1,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,white,white,white,white,,,,,1,0
0,airblaster,AB18MJ1_084,1,0,shell fabric,sota074-2l1-y 100% polyester 10k/8k +2-layer + breathable coating + dwr (supplied by solis),"main body, sleeves. hood",,black,duffel,rust,butter,,,,,1,0
1,airblaster,AB18MJ1_084,1,0,lining,210t-e emb07 terry taffeta emboss (supplied by ecoya),"powder skirt, pocket bag, hood lining, sleeve lining, fornt and back body below powder skirt only",,black,black,black,black,,,,,1,0
2,airblaster,AB18MJ1_084,1,0,other , velvety tricot - soto048-p (supplied by solis),"inside lining, comfort chin guard, inner front pocket bag panel, front and back body panel above powder skirt only",,modern athlete,modern athlete,modern athlete,modern athlete,,,,,1,0
3,airblaster,AB18MJ1_084,1,0,other,100% poly mesh - sotc025-1 (supplied by solis),"vents, internal goggle pocket",,black,black,black,black,,,,,1,0
4,airblaster,AB18MJ1_084,1,0,other,nylon/elastic lycra - sono029-1 (supplied by solis),powder skirt,,black,black,black,black,,,,,1,0
5,airblaster,AB18MJ1_084,0,1,other,"1x1 rib knit,good quality arcylic/spandex",cuffs,,black,black,black,black,,,,,1,0
6,airblaster,AB18MJ1_084,0,1,other,lycra binding tape,internal mesh pocket opening,,black,black,black,black,,,,,1,0
7,airblaster,AB18MJ1_084,1,0,other,60gm insulation,"main body, hood and sleeves",,white,white,white,white,,,,,1,0
8,airblaster,AB18MJ1_084,0,1,other,gripper elastic,powder skirt,,black,black,black,black,,,,,1,0
9,airblaster,AB18MJ1_084,1,0,pellon,lightweight interfacing (item# tbd),"inner storm flap, powder skirt closure flaps",,white,white,white,white,,,,,1,0
10,airblaster,AB18MJ1_084,1,0,pellon,heavyweight interfacing (item# tbd),hood brim,,white,white,white,white,,,,,1,0
11,airblaster,AB18MJ1_084,0,1,zipper,"ykk no.5 2-way coil zipper.  auto-lock slider da8lh,   (right hand pull left hand insert)",cf,1,black,duffel 237,rust 236,butter 510,,,,,1,0
12,airblaster,AB18MJ1_084,0,1,zipper,ykk  no.5 nylon coil zippers.  auto-lock slider da8lh1 (zippers close down),( 2) hand pockets,2,black,duffel 237,rust 236,butter 510,,,,,1,0
13,airblaster,AB18MJ1_084,0,1,zipper,"ykk  no.5 nylon coil zippers,1-way hidden chain.  auto-lock slider da8lh1 (zippers close down)", vents,2,black,duffel 237,rust 236,butter 510,,,,,1,0
14,airblaster,AB18MJ1_084,0,1,zipper,"ykk  no.5 nylon coil zippers hidden chain ,auto-lock slider da8lh1 (zipper closes up)",1 internal pocket at w.'s inside left,1,black,duffel 237,rust 236,butter 510,,,,,1,0
15,airblaster,AB18MJ1_084,0,1,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),"cf, (2) hand pockets, (1) internal pocket, (2) vents",6,black,black,black,black,,,,,1,0
16,airblaster,AB18MJ1_084,0,1,stoppers,barrel stopper k-018,2) hood,2,black,dark olive,black,dark olive,,,,,1,0
17,airblaster,AB18MJ1_084,0,1,webbing,"flat webbing tape, 8mm", key clip attachment at inside wearer's right pocket,1,black,black,black,black,,,,,1,0
18,airblaster,AB18MJ1_084,0,1,hardware,"metal eyelets, 12mm (incl. washers)","(4) at hood opening, ",4,pewter bi-10,dark anti brass bi-18,dark anti brass bi-18,pewter bi-10,,,,,1,0
19,airblaster,AB18MJ1_084,0,1,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)"," (6)c.f., (2) pockets, (1) snap tabs at inside bottom hem,  (2) at powder skirt, (2) cuff tab, (1) back vent",14,pewter bi-10,dark anti brass bi-18,dark anti brass bi-18,pewter bi-10,,,,,1,0
20,airblaster,AB18MJ1_084,0,1,hardware,male snap only (incl. washers),"(2) powder skirt, (2)cuffs",4,pewter bi-10,dark anti brass bi-18,dark anti brass bi-18,pewter bi-10,,,,,1,0
21,airblaster,AB18MJ1_084,0,1,drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,hood,1,black,dark olive,black,dark olive,,,,,1,0
22,airblaster,AB18MJ1_084,0,1,elastic , 2.5 cm flat elastic ,(2) cuffs,2,black,black,black,black,,,,,1,0
23,airblaster,AB18MJ1_084,0,1,key clip,plastic key clip attched with webbing loop,inside wearers right pocket.,1,black,black,black,black,,,,,1,0
24,airblaster,AB18MJ1_084,0,1,main label,abwv_67 freedom main label,"inside c.b. neck, centered below abwv_110",1,olive/black,olive/black,olive/black,olive/black,,,,,1,0
25,airblaster,AB18MJ1_084,0,1,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,olive/black,olive/black,olive/black,olive/black,,,,,1,0
26,airblaster,AB18MJ1_084,0,1,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black,,,,,1,0
27,airblaster,AB18MJ1_084,0,1,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,olive/black,olive/black,olive/black,olive/black,,,,,1,0
28,airblaster,AB18MJ1_084,0,1,branding,abpa_105b corey patch,"left chest, see palcement page for detail",1,bone/black/ black velcro,bone/black/ olive velcro,bone/black/ rust velcro,bone/black/ gold velcro,,,,,1,0
29,airblaster,AB18MJ1_084,0,1,branding,abwv_110 modern athlete woven label,centered 3cm below abwv_67,1,black/ off white/ olive,black/ off white/ olive,black/ off white/ olive,black/ off white/ olive,,,,,1,0
30,airblaster,AB18MJ1_084,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
31,airblaster,AB18MJ1_084,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
32,airblaster,AB18MJ1_084,0,1,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear,,,,,1,0
33,airblaster,AB18MJ1_084,0,1,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd,,,,,1,0
34,airblaster,AB18MJ1_084,0,1,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd,,,,,1,0
0,airblaster,AB19MP4_037-170215,1,0,shell fabric,sotd109-c1-y 10k/8k 10k/8k +2-layer +breathable coating+dwr,main body,none,tbd,tbd,tbd,tbd,,,,,1,0
1,airblaster,AB19MP4_037-170215,1,0,lining,210t-e terry emboss taffeta   (supplied by ecoya),"inside lining, lower leg gaiters",none,tbd,tbd,tbd,tbd,,,,,1,0
2,airblaster,AB19MP4_037-170215,1,0,lining, velvety tricot - soto048-1 (supplied by solis),"inside waistband, handwarmer pocket bag front panel only, and inside fly panel",none,tbd,tbd,tbd,tbd,,,,,1,0
3,airblaster,AB19MP4_037-170215,1,0,other,nylon/elastic lycra - sono029-1 (supplied by solis),"lower leg gators, internal crotch gusset",none,black,black,black,black,,,,,1,0
4,airblaster,AB19MP4_037-170215,0,1,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh",fly,1,tbd,tbd,tbd,tbd,,,,,1,0
5,airblaster,AB19MP4_037-170215,0,1,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh1 (zippers close from c.b. to side seam)",back pockets,2,tbd,tbd,tbd,tbd,,,,,1,0
6,airblaster,AB19MP4_037-170215,0,1,zipper,"ykk no.3 nylon reverse coil, auto-lock slider da8lh1 (zippers close from c.b. to side seam)",phone pocket,1,tbd,tbd,tbd,tbd,,,,,1,0
7,airblaster,AB19MP4_037-170215,0,1,zipper pull,abzp_01 utility cord pulls (supplied by wei rong),back pockets (2),2,tbd,tbd,tbd,tbd,,,,,1,0
8,airblaster,AB19MP4_037-170215,0,1,hardware,"abjbt_01 jean button (16.3mm) ('air blaster' deboss logo), incl. washer",at c.f. closure.,1,tbd,tbd,tbd,tbd,,,,,1,0
9,airblaster,AB19MP4_037-170215,0,1,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)",bang snaps (2),2,tbd,tbd,tbd,tbd,,,,,1,0
10,airblaster,AB19MP4_037-170215,0,1,hardware,12mm metal eyelet  (incl. washers),front waistband 10cm each side of center front (2),2,tbd,tbd,tbd,tbd,,,,,1,0
11,airblaster,AB19MP4_037-170215,0,1,hardware,abel_01 (incl. washers),left belt loop (1),1,tbd,tbd,tbd,tbd,,,,,1,0
12,airblaster,AB19MP4_037-170215,0,1,hardware,metal lace hook,2 pcs at bottom leg openings.  place at cf of each leg opening.,2,black oxidized,black oxidized,black oxidized,black oxidized,,,,,1,0
13,airblaster,AB19MP4_037-170215,0,1,drawcord,polyester flat lace drawcord with metal sealed ends.  w:1 cm,waistband,1,tbd,tbd,tbd,tbd,,,,,1,0
14,airblaster,AB19MP4_037-170215,0,1,elastic,gripper elastic,at inside lower leg gators,2,black,black,black,black,,,,,1,0
15,airblaster,AB19MP4_037-170215,0,1,main label,tbd,"inside c.b. waist, see q/a for detail",1,tbd,tbd,tbd,tbd,,,,,1,0
16,airblaster,AB19MP4_037-170215,0,1,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,tbd,tbd,tbd,tbd,,,,,1,0
17,airblaster,AB19MP4_037-170215,0,1,w/c label,satin/printed w/c label   (supplied by your side),"at inside wearers left, 8 cm from waistband seam",1,black,black,black,black,,,,,1,0
18,airblaster,AB19MP4_037-170215,0,1,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back waist seam,1,tbd,tbd,tbd,tbd,,,,,1,0
19,airblaster,AB19MP4_037-170215,0,1,branding,tbd,"hammer pocket, see placement page for detail",1,tbd,tbd,tbd,tbd,,,,,1,0
20,airblaster,AB19MP4_037-170215,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
21,airblaster,AB19MP4_037-170215,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
22,airblaster,AB19MP4_037-170215,0,1,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,black,black,black,black,,,,,1,0
23,airblaster,AB19MP4_037-170215,0,1,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,white,white,white,white,,,,,1,0
24,airblaster,AB19MP4_037-170215,0,1,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,white,white,white,white,,,,,1,0
0,airblaster,AB18MJ1_032_ BOM,1,0,shell fabric,sotd109-c1-y 100% polyester 10k/8k 10k/8k +2-layer +breathable coating+dwr (supplied by solis),main body,,black,dark navy,vintage black,,,,,,1,0
1,airblaster,AB18MJ1_032_ BOM,1,0,shell fabric,sotd109-pr01-y 100% polyester 10k/8k 10k/8k +2-layer +breathable coating+dwr (supplied by solis),main body,,,,,dinoflage,,,,,1,0
2,airblaster,AB18MJ1_032_ BOM,1,0,shell fabric,sotp069-c1-h 100% polyester 10k/8k 15k/10k+2-layer +breathable coating+dwr (supplied by solis),"sleeves, hood",,oxblood,camel,black,black,,,,,1,0
3,airblaster,AB18MJ1_032_ BOM,1,0,lining,210t-e emb07 tery emboss  taffeta(supplied by ecoya),"inside lining, powder skirt, pocket bag",,black,black,black,black,,,,,1,0
4,airblaster,AB18MJ1_032_ BOM,1,0,other , velvety tricot - soto048-1 (supplied by solis),"comfort chin guard, inner front pocket bag panel",,black,black,black,black,,,,,1,0
5,airblaster,AB18MJ1_032_ BOM,1,0,other,100% poly mesh - sotc025-1 (supplied by solis),"vents, internal goggle pocket",,black,black,black,black,,,,,1,0
6,airblaster,AB18MJ1_032_ BOM,1,0,other,nylon/elastic lycra - sono029-1 (supplied by solis),powder skirt,,black,black,black,black,,,,,1,0
7,airblaster,AB18MJ1_032_ BOM,0,1,other,"1x1 rib knit,good quality arcylic/spandex",cuffs,,black,black,black,black,,,,,1,0
8,airblaster,AB18MJ1_032_ BOM,0,1,other,lycra binding tape,internal mesh pocket opening,,black,black,black,black,,,,,1,0
9,airblaster,AB18MJ1_032_ BOM,0,1,other,gripper elastic,powder skirt,,black,black,black,black,,,,,1,0
10,airblaster,AB18MJ1_032_ BOM,1,0,pellon,lightweight interfacing (item# tbd),"inner storm flap, powder skirt closure flaps",,white,white,white,white,,,,,1,0
11,airblaster,AB18MJ1_032_ BOM,1,0,pellon,heavyweight interfacing (item# tbd),hood brim,,white,white,white,white,,,,,1,0
12,airblaster,AB18MJ1_032_ BOM,0,1,zipper,"ykk no.8 vislon 2 way  zipper.  auto-lock slider da8lh, silders bottom to bottom   (right hand pull left hand insert)",c.f.,1,oxblood 097,camel 161,black,black,,,,,1,0
13,airblaster,AB18MJ1_032_ BOM,0,1,zipper,ykk  no.5 nylon coil zippers.  auto-lock slider da8lh1 (zippers close down),( 2) hand pockets,2,oxblood 097,camel 161,black,black,,,,,1,0
14,airblaster,AB18MJ1_032_ BOM,0,1,zipper,"ykk  no.5 nylon coil zippers,1-way hidden chain.  auto-lock slider da8lh1 (zippers close down)", vents,2,oxblood 097,camel 161,black,black,,,,,1,0
15,airblaster,AB18MJ1_032_ BOM,0,1,zipper,"ykk  no.5 nylon coil zippers hidden chain ,auto-lock slider da8lh1 (zipper closes up)",1 internal pocket at w.'s inside left,1,oxblood 097,camel 161,black,black,,,,,1,0
16,airblaster,AB18MJ1_032_ BOM,0,1,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),"(2) pockets, (1) c.f. (2) vents,  (1) inside pocket",6,black,black,black,black,,,,,1,0
17,airblaster,AB18MJ1_032_ BOM,0,1,stoppers,round barrel stopper - k-018 , (2) hood,2,black,black,black,dark olive,,,,,1,0
18,airblaster,AB18MJ1_032_ BOM,0,1,stoppers,k343-2n push stoppers,(2) bottom hem,2,black,black,black,dark olive,,,,,1,0
19,airblaster,AB18MJ1_032_ BOM,0,1,hand pulls,plastic hand pulls zp11 , (2) bottom hem,2,black,black,black,dark olive,,,,,1,0
20,airblaster,AB18MJ1_032_ BOM,0,1,webbing,"flat webbing tape, 8mm", key clip attachment at inside wearer's right pocket,1,black,black,black,black,,,,,1,0
21,airblaster,AB18MJ1_032_ BOM,0,1,webbing,flat webbing tape 8mm width, (2)stopper attachments loops at bottom hem,2,black,black,black,black,,,,,1,0
22,airblaster,AB18MJ1_032_ BOM,0,1,hardware,"metal eyelets, 12mm (incl. washers)","(4) at hood opening,  (4) inside bottom hem",8,matte black bi-48,matte black bi-48,matte black bi-48,matte black bi-48,,,,,1,0
23,airblaster,AB18MJ1_032_ BOM,0,1,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)"," (1) snap tabs at inside bottom hem,  (2) at powder skirt",3,matte black bi-48,matte black bi-48,matte black bi-48,matte black bi-48,,,,,1,0
24,airblaster,AB18MJ1_032_ BOM,0,1,hardware,male snap only (incl. washers),(2) powder skirt,2,matte black bi-48,matte black bi-48,matte black bi-48,matte black bi-48,,,,,1,0
25,airblaster,AB18MJ1_032_ BOM,0,1, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,hood opening,1,black,black,black,dark olive,,,,,1,0
26,airblaster,AB18MJ1_032_ BOM,0,1,elastic drawcord, 2.5 mm elastic cord,bottom hem adjustment,1,black,black,black,dark olive,,,,,1,0
27,airblaster,AB18MJ1_032_ BOM,0,1,key clip,plastic key clip attched with webbing loop,inside wearers right pocket.,1,black,black,black,black,,,,,1,0
28,airblaster,AB18MJ1_032_ BOM,0,1,main label,abwv_67 freedom main label,"inside c.b. neck, see q/a for placement",1,gold/black,gold/black,gold/black,gold/black,,,,,1,0
29,airblaster,AB18MJ1_032_ BOM,0,1,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,black/gold,black/gold,black/gold,black/gold,,,,,1,0
30,airblaster,AB18MJ1_032_ BOM,0,1,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black,,,,,1,0
31,airblaster,AB18MJ1_032_ BOM,0,1,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,black/gold,black/gold,black/gold,black/gold,,,,,1,0
32,airblaster,AB18MJ1_032_ BOM,0,1,flag  label,ablt_01 flag label (pill logo side),right vent 2cm from bottom of vent,1,black/white,black/white,black/white,black/white,,,,,1,0
33,airblaster,AB18MJ1_032_ BOM,0,1,branding,abpr_10 large airpill print,"centered on wearer's back, see artwork palcement for detail",1,oxblood 19-1331tpx,camel 17-1019tpx,black,black,,,,,1,0
34,airblaster,AB18MJ1_032_ BOM,0,1,branding,abwv_103 awesome woven label,"left chest, see art placement for detail",1,black/gold,black/gold,black/gold,black/gold,,,,,1,0
35,airblaster,AB18MJ1_032_ BOM,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
36,airblaster,AB18MJ1_032_ BOM,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
37,airblaster,AB18MJ1_032_ BOM,0,1,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear,,,,,1,0
38,airblaster,AB18MJ1_032_ BOM,0,1,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd,,,,,1,0
39,airblaster,AB18MJ1_032_ BOM,0,1,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd,,,,,1,0
0,airblaster,AB17WJ3_072,1,0,shell fabric,sotp069-q03-ah 100% polyester wax coating tpu menbrane (supplied by solis),"main body, sleeves, hood, pockets",none,black wax,camel wax,red dawn,,,,,,1,0
1,airblaster,AB17WJ3_072,1,0,shell fabric,sotp069-2l32-ae 100% polyester 80/20 dwr tpu membrane (supplied by solis),"main body, sleeves, hood, pockets",none,,,,night jungle,,,,,1,0
2,airblaster,AB17WJ3_072,1,0,shell fabric,sotp069-pr03-ae 100% polyester 80/20 dwr tpu membrane (supplied by solis),"main body, sleeves, hood, pockets",none,,,old gold,black,,,,,1,0
3,airblaster,AB17WJ3_072,1,0,lining,emb07 taffeta emboss  (supplied by ecoya),inside liningpocket bag,none,black,old gold,black,black,,,,,1,0
4,airblaster,AB17WJ3_072,0,1,other,rib knit,cuffs,none,black,black,red dawn 520,green 869,,,,,1,0
5,airblaster,AB17WJ3_072,0,1,zipper,"ykk no.5 coil zipper.  auto-lock slider da8lh,   (right hand pull left hand insert)",c.f.,1,black,camel 858,red dawn 520,green 869,,,,,1,0
6,airblaster,AB17WJ3_072,0,1,zipper,"ykk  no.5 nylon coil zippers.  auto-lock slider da8lh1, close to side seam ",(2) pockets,1,black,camel 858,old gold,black,,,,,1,0
7,airblaster,AB17WJ3_072,0,1,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),(1) c.f. (2) pockets,3,black,old gold,old gold,black,,,,,1,0
8,airblaster,AB17WJ3_072,0,1,stoppers,round barrel stopper - k-018 , (2) hood,2,black,old gold,bi-17 mid dark anti brass,bi-17 mid dark anti brass,,,,,1,0
9,airblaster,AB17WJ3_072,0,1,hardware,"metal eyelets, 12mm (incl. washers)",(2) at hood opening,2,bi-08 dull dark pewter,bi-17 mid dark anti brass,old gold,black,,,,,1,0
10,airblaster,AB17WJ3_072,0,1, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,hood opening,1,black,old gold,cream/black,cream/black,,,,,1,0
11,airblaster,AB17WJ3_072,0,1,main label,abwv_84 s.layer main label,"inside c.b. neck, see q/a for placement",1,cream/black,cream/black,black/cream,black/cream,,,,,1,0
12,airblaster,AB17WJ3_072,0,1,size label,abwv_69 inside joke label,sewn in and centered below main label,1,black/cream,black/cream,black,black,,,,,1,0
13,airblaster,AB17WJ3_072,0,1,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black/cream,black/cream,,,,,1,0
14,airblaster,AB17WJ3_072,0,1,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,black/cream,black/cream,gold m564,dk teal 20002,,,,,1,0
15,airblaster,AB17WJ3_072,0,1,branding,abem_36a stay wild arrow embroidery,"left hip, see placement page for detail",1,dk grey 70021,brown 80001,tbd,tbd,,,,,1,0
16,airblaster,AB17WJ3_072,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
17,airblaster,AB17WJ3_072,0,1,hangtag,tbd,tbd,1,tbd,tbd,clear,clear,,,,,1,0
18,airblaster,AB17WJ3_072,0,1,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,tbd,tbd,,,,,1,0
19,airblaster,AB17WJ3_072,0,1,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd,,,,,1,0
20,airblaster,AB17WJ3_072,0,1,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,,,,,,,1,0
0,airblaster,AB19MJ1_084-170408,1,0,shell fabric,sota074-2l1-y 100% polyester 10k/8k +2-layer + breathable coating + dwr (supplied by solis),"upper front and back main body, hood, upper storm flap, sleeves",none,tbd,tbd,tbd,tbd,,,,,1,0
1,airblaster,AB19MJ1_084-170408,1,0,shell fabric,sota074-2l1-y 100% polyester 10k/8k +2-layer + breathable coating + dwr (supplied by solis),"lower front and back main body, lower storm flap",none,tbd,tbd,tbd,tbd,,,,,1,0
2,airblaster,AB19MJ1_084-170408,1,0,lining,210t-e emb07 terry taffeta emboss (supplied by ecoya),"powder skirt, pocket bag, hood lining, sleeve lining, fornt and back body below powder skirt only",none,tbd,tbd,tbd,tbd,,,,,1,0
3,airblaster,AB19MJ1_084-170408,1,0,other , velvety tricot - soto048-1 (supplied by solis),"inside lining, comfort chin guard, inner front pocket bag panel, front and back body panel above powder skirt only",none,tbd,tbd,tbd,tbd,,,,,1,0
4,airblaster,AB19MJ1_084-170408,1,0,other,100% poly mesh - sotc025-1 (supplied by solis),"vents, internal goggle pocket",none,tbd,tbd,tbd,tbd,,,,,1,0
5,airblaster,AB19MJ1_084-170408,1,0,other,nylon/elastic lycra - sono029-1 (supplied by solis),"powder skirt, wrist gaiters",none,tbd,tbd,tbd,tbd,,,,,1,0
6,airblaster,AB19MJ1_084-170408,0,1,other,lycra binding tape,internal mesh pocket opening,none,black,black,black,black,,,,,1,0
7,airblaster,AB19MJ1_084-170408,1,0,other,60gm insulation,"main body, hood and sleeves",none,white,white,white,white,,,,,1,0
8,airblaster,AB19MJ1_084-170408,0,1,other,gripper elastic,powder skirt,none,black,black,black,black,,,,,1,0
