,item,description,spec,width:,weight:,position,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,brand,style,supplier,ref,qty,price/unit,unit,fabric,trims,outer,inner
9080, #5 coil zipper,,,,,underarm vents,,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,non ykk / 1-way dadhr die cast wire non locking,1 per side = 2,,,0,1,1,0
9081, #5 metal zipper,,,,,hand pockets vertical,,silder/ pull color: ykk rl bright copper/ zipper tape and teeth color: 19-1718 tcx port,silder/ pull color: ykk rl bright copper/ zipper tape and teeth color: 19-0515 tcx military,silder/ pull color: ykk rl bright copper/ zipper tape and teeth color: 12-0105 tcx bone,silder/ pull color: ykk rl bright copper/ zipper tape and teeth color: 19-4006 tcx black,silder/ pull color: ykk rl bright copper/ zipper tape and teeth color: 19-4006 tcx black,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,non ykk / 1-way dadhr die cast wire non locking,1 per side = 2,,,0,1,1,0
9082, #5 coil zipper,,,,,lining pocket vertical,,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,non ykk / 1-way dadhr die cast wire non locking,1,,,0,1,1,0
9083,additional zipper pulls,,,,,location,,port,military,bone/floral print,black,vintage camo broken twill,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,supplier/ reference number,amount,,,0,1,1,0
9084,"""l1-2018-trim-017
l1 zipper pull. graphic debossed 1mm 3.2 cm x 0.92 cm ",,,,,center front,,ykk  rl bright copper,ykk  rl bright copper,ykk  rl bright copper,ykk  rl bright copper,ykk  rl bright copper,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,ykk,top and bottom pull = 2,,,0,1,1,0
9085,l1-2018-trim-018 / non branded zipper pull faux leather quality to match trims faux leather piece = 4 cm x 0.6 cm ,,,,,chest pocket vertical,,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,please source: same supplier as other faux leather trims,1,,,0,1,1,0
9086,11nt-045 / self fabric pull,,,,,underarm vents,,port shell fabric,military shell fabric,bone shell fabric,black shell fabric,vintage camo broken twill shell fabric,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,factory made,1 per side = 2,,,0,1,1,0
9087,l1-2018-trim-018 / non branded zipper pull faux leather quality to match trims faux leather piece = 4 cm x 0.6 cm ,,,,,hand pockets vertical,,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,please source: same supplier as other faux leather trims,1 per side = 2,,,0,1,1,0
9088,11nt-045 / self fabric pull,,,,,lining pocket vertical,,port shell fabric,military shell fabric,bone shell fabric,black shell fabric,vintage camo broken twill shell fabric,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,factory made,1,,,0,1,1,0
9089,branded trims,,,,,location,,port,military,bone/floral print,black,vintage camo broken twill,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,supplier/ reference number,amount,,,0,1,1,0
9090,"l1-2018-trim-009 / 
freedom snap  / artwork debossed 1mm. 1.7 cm x 1.7cm",,,,,center front placket,,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,luks,4,,,0,1,1,0
9091,"l1-2018-trim-009 / 
freedom snap  / artwork debossed 1mm. 1.7 cm x 1.7cm",,,,,hand pockets,,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,luks,1,,,0,1,1,0
9092,"l1-2018-trim-003/ 
faux leather patch / artwork debossed 1mm 6.25 cm x 4.6 cm
brown leather",,,,,front right hem,,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,please source,1,,,0,1,1,0
9093,"l1-2018-trim-004
brown faux leather hem wrap / artwork debossed 1mm 5.7 cm x 2.87 cm",,,,,front right hand pocket flap,,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,please source,1,,,0,1,1,0
9094,"l1-2018-trim-024/  l1 embroidery small
3cm x 2.77cm  ",,,,,left sleeve hem,,matching,matching,matching,matching,matching,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,soluna,1,,,0,1,1,0
9095,"l1-2018-trim-025 /
l1 embroidery large
3.7cm x 3.4cm  ",,,,,back right,,matching,matching,matching,matching,matching,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,soluna,1,,,0,1,1,0
9096,trims,,,,,location,,port,military,bone/floral print,black,vintage camo broken twill,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,supplier/ reference number,amount,,,0,1,1,0
9097,15mm metal snap ,,,,,powder skirt - front closure,,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,luk's / 404,"2 female, 4 male",,,0,1,1,0
9098,15mm metal snap ,,,,,snap away powder skirt - lining facing ,,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,luk's / 404,1 male 1 female,,,0,1,1,0
9099,15mm metal snap ,,,,,powder skirt - jacket to pant connection,,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,luk's / 404,3 sets,,,0,1,1,0
9100,metal eyelets 8mm ,,,,,hood cord exit front,,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,luk's / et04,2 per side = 4 ,,,0,1,1,0
9101,metal eyelets 8mm ,,,,,hem adjust,,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,luk's / et04,2 per side = 4 ,,,0,1,1,0
9102,cord lock: small cord lock with tie down,,,,,front hood adjust,,19-1718 tcx port,19-0515 tcx military,12-0105 tcx bone, 19-4006 tcx black, 19-4006 tcx black,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,sun sun/ sv160824-2a,1 per side = 2,,,0,1,1,0
9103,cord lock,,,,,hem adjust,,19-1718 tcx port,19-0515 tcx military,12-0105 tcx bone, 19-4006 tcx black, 19-4006 tcx black,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,sv160819-4a,1 per side = 2,,,0,1,1,0
9104,bead,,,,,hem adjust,,19-1718 tcx port,19-0515 tcx military,12-0105 tcx bone, 19-4006 tcx black, 19-4006 tcx black,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,sv160725-1a,1 per side = 2,,,0,1,1,0
9105,keyclip,,,,,right hand pocket,,black,black,black,black,black,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,as production ,1 per side = 2,,,0,1,1,0
9106,notions,,,,,location,,port,military,bone/floral print,black,vintage camo broken twill,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,supplier/ reference number,amount,,,0,1,1,0
9107,"grosgrain 1/4""",,,,,attach front hood cord lock,,black,black,black,black,black,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,,1 per side = 2,,,0,1,1,0
9108,"grosgrain 3/8""",,,,,attach hem cord lock,,black,black,black,black,black,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,,1 per side = 2,,,0,1,1,0
9109,"grosgrain 1/4""",,,,,attach keyclip right hand pocket ,,19-1718 tcx port,19-0515 tcx military,12-0105 tcx bone, 19-4006 tcx black, 19-4006 tcx black,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,,1,,,0,1,1,0
9110,"grosgrain 3/4"" x  3 1/2"" flat webbing (finished length)",,,,,powder skirt - side tabs jacket to pant connection ,,black,black,black,black,black,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,,2,,,0,1,1,0
9111,"shell fabric tab  1"" x 1"" wrap around ",,,,,jacket to pant connection center back on tab,,port shell fabric,military shell fabric,bone shell fabric,black shell fabric,vintage camo broken twill shell fabric,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,,1,,,0,1,1,0
9112,"shell fabric tab  1"" x 1"" wrap around ",,,,,jacket to pant connection center back under snap on gripper elastic,,port shell fabric,military shell fabric,bone shell fabric,black shell fabric,vintage camo broken twill shell fabric,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,,1,,,0,1,1,0
9113,"shell fabric tab 3/4"" x  1"" ",,,,,jacket to pant connection at side tabs under snaps,,port shell fabric,military shell fabric,bone shell fabric,black shell fabric,vintage camo broken twill shell fabric,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,,1 per side = 2,,,0,1,1,0
9114,"elastic 1"" x 4""",,,,,powder skirt middle tab - jacket to pant connection ,,black,black,black,black,black,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,,1,,,0,1,1,0
9115,elastic ,,,,,back of sleeve cuffs,,available,available,available,available,available,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,,1 per side = 2,,,0,1,1,0
9116,elastine binding,,,,,goggle pocket binding,,black,black,black,black,black,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,,1,,,0,1,1,0
9117,"elastic 1/4"" ",,,,,lining cable guide,,black,black,black,black,black,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,,1,,,0,1,1,0
9118,l1-2018-trim-030 2-color shockcord 3.5mm (heathered 2 color mix) ,,,,,hood & hem,,"colorway: 7 =19-1718 tcx port/
18-1703 tcx smoke","colorway: 4 = 19-0515 tcx military/
17-0620 tcx dusty green ","colorway: 3
12-0105 tcx bone/
16-5807 tcx silt","colorway: 1 = 19-4006 tcx black/
18-0403 tcx gunmetal","colorway: 1 = 19-4006 tcx black/
18-0403 tcx gunmetal",,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,"example: cw15-065
chun wo ho (please source)",1,,,0,1,1,0
9119,gripper elastic 25mm non logo,,,,,powder skirt hem,,black,black,black,black,black,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,mtt0022,1,,,0,1,1,0
9120,velcro,,,,,location,,port,military,bone/floral print,black,vintage camo broken twill,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,supplier/ reference number,amount,,,0,1,1,0
9121,"1/2"" x 1 1/2"" velcro with rounded corners",,,,,chin,,match to shell,match to shell,match to shell,match to shell,black,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,paiho / loop#1057 / hooketn7,1,,,0,1,1,0
9122," 1/2"" x 2 velcro with rounded corners",,,,,center front placket,,match to shell,match to shell,match to shell,match to shell,black,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,paiho / loop#1057 / hooketn7,4,,,0,1,1,0
9123,"3/4"" x 3 3/4"" velcro with rounded corners",,,,,cuff on body,,match to shell,match to shell,match to shell,match to shell,black,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,paiho / loop#1057,1 per side = 2,,,0,1,1,0
9124,"3/4"" x 2 1/2"" velcro with rounded corners",,,,,cuff on tab,,match to shell,match to shell,match to shell,match to shell,black,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,paiho / hooketn7,1 per side = 2,,,0,1,1,0
9125,thread,,,,,supplier/ ref number,,port,military,bone/floral print,black,vintage camo broken twill,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,spi,amount,,,0,1,1,0
9126,seams,,,,,Feb-30,,match to shell,match to shell,match to shell,match to shell,match to shell,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,10-12 spi,,,,0,1,1,0
9127,topstitch,,,,,heavy weight topstitch,,match to shell,match to shell,match to shell,match to shell,match to shell,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,8-10 spi,,,,0,1,1,0
9128,bartacks,,,,,100/2,,match to shell,match to shell,match to shell,match to shell,match to shell,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,,,,,0,1,1,0
9129,labels ,,,,,location,,port,military,bone/floral print,black,vintage camo broken twill,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,supplier/ reference number,amount,,,0,1,1,0
9130,10k/10k critically seam sealed,,,,,center back below neck seam,,10k/10k critically seam sealed,,,,,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,soluna/ main label,1,,,0,1,1,0
9131,size label (sample size s),,,,,center back below main label,,"xs, s, m, l",,,,,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,soluna/ size label,1,,,0,1,1,0
9132,hang tags,,,,,location,,port,military,bone/floral print,black,vintage camo broken twill,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,supplier/ reference number,amount,,,0,1,1,0
9133,womens jacket hang tag,,,,,left side hand pocket zipper,,womens jacket hang tag,,,,,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,soluna/ womens jacket hang tag,1,,,0,1,1,0
9134,care and content labels,,,,,location,,port,military,bone/floral print,black,vintage camo broken twill,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,supplier/ reference number,amount,,,0,1,1,0
9135,address label,,,,,lining left side seam,,address label,,,,,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,factory sourced,1,,,0,1,1,0
9136,content label,,,,,lining left side seam,,content label,,,,,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,factory sourced,1,,,0,1,1,0
9137,washing label,,,,,lining left side seam,,washing label,,,,,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,,factory sourced,1,,,0,1,1,0
9138,"new stretch twill 10k/10k laminate c6 dwr, $4.28",,100% polyester,,,all shell is same fabric,,black,,,,,,,L1,L1TA_205_17_HEARTBREAKER_TWILL_PANT_SHELL,,raco 950703-b,,,,1,0,1,0
9139,item,,content,,,insulation,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,,L1,L1TA_205_17_HEARTBREAKER_TWILL_PANT_SHELL,,supplier/ ref number,,,,1,0,1,0
9140,,,,,,non insulated,,no,,,,,,,L1,L1TA_205_17_HEARTBREAKER_TWILL_PANT_SHELL,,,,,,1,0,1,0
9141,item,,content,,,seam tape,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,,L1,L1TA_205_17_HEARTBREAKER_TWILL_PANT_SHELL,,supplier/ ref number,,,,1,0,1,0
9142,width...seam tape,,,,,critically taped,,yes,,,,,,,L1,L1TA_205_17_HEARTBREAKER_TWILL_PANT_SHELL,,sealon,,,,1,0,1,0
9143,item,,content,,,lining,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,,L1,L1TA_205_17_HEARTBREAKER_TWILL_PANT_SHELL,,supplier/ ref number,,,,1,0,1,0
9144,small hole mesh ,,100% poly,,,main body,,black,,,,,,,L1,L1TA_205_17_HEARTBREAKER_TWILL_PANT_SHELL,,please sorce,,,,1,0,1,0
9145,coated 210t,,100% nylon,,,lower leg,,black,,,,,,,L1,L1TA_205_17_HEARTBREAKER_TWILL_PANT_SHELL,,please sorce,,,,1,0,1,0
9146,120g brushed tricot,,100% poly,,,waistband & fly,,black,,,,,,,L1,L1TA_205_17_HEARTBREAKER_TWILL_PANT_SHELL,,please sorce,,,,1,0,1,0
9147,120g brushed tricot,,100% poly,,,hand pocket lining,,black,,,,,,,L1,L1TA_205_17_HEARTBREAKER_TWILL_PANT_SHELL,,please sorce,,,,1,0,1,0
9148,oxford,,100% polyester,,,a,,silt,ink,military,black,,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,,"solis/  oxford l2-581 ,10k/10k, c6 +dwr",,,,1,0,1,0
9149,broken twill,,100% polyester,,,b,,silt,ink,military,black,,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,,"solis/  wl248 broken twill, 10k/10k, c6 +dwr",,,,1,0,1,0
9150,insulation,,content,,,location ,,silt,ink,military,black,,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,,supplier/ reference number,,,,1,0,1,0
9151,polyfill insulation ,,100% polyester,,,all over,,pinneco mantle 40g,pinneco mantle 40g,pinneco mantle 40g,pinneco mantle 40g,,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,,pinneco mantle 40g,,,,1,0,1,0
9152,seam tape,,content,,,location ,,silt,ink,military,black,,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,,supplier/ reference number,,,,1,0,1,0
9153,seam tape,,,,,critically seam taped,,critically seam taped,critically seam taped,critically seam taped,critically seam taped,,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,,tsgs ,,,,1,0,1,0
9154,lining,,content,,,location ,,silt,ink,military,black,,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,,supplier/ reference number,,,,1,0,1,0
9155,printed satin,,100% polyester,,,hood,,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,,solis/ pr258 womens print,,,,1,0,1,0
9156,solid 210t ,,100% nylon,,,main body,,black,black,black,black,,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,,solis/ sonp006-1 ,,,,1,0,1,0
9157,solid 210t ,,100% nylon,,,sleeves,,black,black,black,black,,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,,solis/ sonp006-1 ,,,,1,0,1,0
9158,solid 210t ,,100% nylon,,,secondary pocket bags,,black,black,black,black,,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,,solis/ sonp006-1 ,,,,1,0,1,0
9159,solid coated 210t,,100% nylon,,,lower body & powder skirt,,black,black,black,black,,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,,solis / sonp006-pu03,,,,1,0,1,0
9160,brushed tricot,,100% polyester,,,hand pocket bags,,black,black,black,black,,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,,supplier / ref code,,,,1,0,1,0
9161,brushed tricot,,100% polyester,,,chin guard,,black,black,black,black,,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,,supplier / ref code,,,,1,0,1,0
9162,stretch lycra,,content,,,sleeve gaiters,,black,black,black,black,,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,,supplier / ref code,,,,1,0,1,0
9163,pa10004 $3.00 flat face,,,,,all shell is same fabric,,black,,,,,,,L1,L1-207-17_SLIM_BASIC_PANT_SHELL,,raco pa10004,,,,1,0,1,0
9164,item,,content,,,insulation,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,,L1,L1-207-17_SLIM_BASIC_PANT_SHELL,,supplier/ ref number,,,,1,0,1,0
9165,,,,,,shell,,no,,,,,,,L1,L1-207-17_SLIM_BASIC_PANT_SHELL,,,,,,1,0,1,0
9166,item,,content,,,seam tape,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,,L1,L1-207-17_SLIM_BASIC_PANT_SHELL,,supplier/ ref number,,,,1,0,1,0
9167,width...seam tape,,,,,critically taped,,yes,,,,,,,L1,L1-207-17_SLIM_BASIC_PANT_SHELL,,sealon,,,,1,0,1,0
9168,item,,content,,,lining,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,,L1,L1-207-17_SLIM_BASIC_PANT_SHELL,,supplier/ ref number,,,,1,0,1,0
9169,small hole mesh ,,100% nylon,,,main body,,black,,,,,,,L1,L1-207-17_SLIM_BASIC_PANT_SHELL,,please sorce,,,,1,0,1,0
9170,coated 210t,,100% nylon,,,lower leg & gaiter,,black,,,,,,,L1,L1-207-17_SLIM_BASIC_PANT_SHELL,,please sorce,,,,1,0,1,0
9171,120g brushed tricot,,100% poly,,,waistband & fly,,black,,,,,,,L1,L1-207-17_SLIM_BASIC_PANT_SHELL,,please sorce,,,,1,0,1,0
9172,120g brushed tricot,,100% poly,,,hand pocket lining,,black,,,,,,,L1,L1-207-17_SLIM_BASIC_PANT_SHELL,,please sorce,,,,1,0,1,0
9173,oxford,,,,,a,,black,soil,bone ,ink,x,,,L1,L1-203-18_AMERICANA_03-30-17_SHELL,,solis / l2-581 / 10k/10k c6 + dwr,,,,1,0,1,0
9174,broken twill,,,,,a,,x,x,x,x,vintage camo broken twill,,,L1,L1-203-18_AMERICANA_03-30-17_SHELL,,solis/ wl248 broken twill,,,,1,0,1,0
9175,leather,,100% leather,,,back right belt loop,,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,,,L1,L1-203-18_AMERICANA_03-30-17_SHELL,,suppler? can you source same quality as other faux  leather trims,,,,1,0,1,0
9176,insulation,,content,,,location ,,black,soil,bone ,ink,vintage camo broken twill,,,L1,L1-203-18_AMERICANA_03-30-17_SHELL,,supplier/ reference number,,,,1,0,1,0
9177,polyfill insulation ,,100% polyester,,,knees and seat,,pinneco mantle 40g ,pinneco mantle 40g ,pinneco mantle 40g ,pinneco mantle 40g ,pinneco mantle 40g ,,,L1,L1-203-18_AMERICANA_03-30-17_SHELL,,pinneco mantle 40g ,,,,1,0,1,0
9178,seam tape,,content,,,location ,,black,soil,bone ,ink,vintage camo broken twill,,,L1,L1-203-18_AMERICANA_03-30-17_SHELL,,supplier/ reference number,,,,1,0,1,0
9179,seam tape,,,,,fully taped,,fully taped,fully taped,fully taped,fully taped,fully taped,,,L1,L1-203-18_AMERICANA_03-30-17_SHELL,,tsgs ,,,,1,0,1,0
9180,lining,,content,,,location ,,black,soil,bone ,ink,vintage camo broken twill,,,L1,L1-203-18_AMERICANA_03-30-17_SHELL,,supplier/ reference number,,,,1,0,1,0
9181,solid 210t ,,100% nylon,,,main body,,black,black,black,black,black,,,L1,L1-203-18_AMERICANA_03-30-17_SHELL,,solis / sonp006-1,,,,1,0,1,0
9182,solid 210t ,,100% nylon,,,knees and seat,,black,black,black,black,black,,,L1,L1-203-18_AMERICANA_03-30-17_SHELL,,solis / sonp006-1,,,,1,0,1,0
9183,solid 210t ,,100% nylon,,,secondary pocket bags,,black,black,black,black,black,,,L1,L1-203-18_AMERICANA_03-30-17_SHELL,,solis / sonp006-1,,,,1,0,1,0
9184,solid coated 210t,,100% polyester,,,lower leg & gaiter,,black,black,black,black,black,,,L1,L1-203-18_AMERICANA_03-30-17_SHELL,,solis / sonp006-pu03,,,,1,0,1,0
9185,brushed tricot,,100% polyester,,,"waistband, fly, hand pocket bags",,black,black,black,black,black,,,L1,L1-203-18_AMERICANA_03-30-17_SHELL,,supplier / ref code,,,,1,0,1,0
9186,regular mesh,,100% polyester,,,leg vents,,black,black,black,black,black,,,L1,L1-203-18_AMERICANA_03-30-17_SHELL,,1606b02 (als-16038),,,,1,0,1,0
9187,lower leg lining print (see pdf),,content,,,location ,,black,soil,bone ,ink,vintage camo broken twill,,,L1,L1-203-18_AMERICANA_03-30-17_SHELL,,supplier/ reference number,,,,1,0,1,0
9188,on coated 210t,,,,,lower leg front and back,,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,,,L1,L1-203-18_AMERICANA_03-30-17_SHELL,,please source ,,,,1,0,1,0
9189, #5 vislon zipper,,,,,center front,,slider/pull color: h6 antique silver/ zipper tape and teeth color: black,slider/pull color: x antique copper/ zipper tape and teeth color: black,slider/pull color: x antique copper/ zipper tape and teeth color: black,slider/pull color: x antique copper/ zipper tape and teeth color: black,,,,L1,L1-104-18_LEGACY_4-07-17_TRIMS,,ykk / 2-way semi auto locking with 2 l1 custom pulls,1,,,0,1,1,0
9190, #5 metal zipper,,,,,chest pocket vertical,,slider/pull/ teeth color: h6 antique silver/ zipper tape color: 19-1540 tcx rust,slider/pull/ teeth color: x antique copper/ zipper tape color: 19-4010 tcx ink,slider/pull/ teeth color: x antique copper/ zipper tape color: 19-4006 tcx black,slider/pull/ teeth color: x antique copper/ zipper tape color: 19-4006 tcx black,,,,L1,L1-104-18_LEGACY_4-07-17_TRIMS,,non ykk / 1-way dadhr die cast wire non locking,1,,,0,1,1,0
9191, #5 coil zipper,,,,,underarm vents,,slider/pull color: h6 antique silver/ zipper tape / teeth color: black,slider/pull color: x antique copper/ zipper tape / teeth color: black,slider/pull color: x antique copper/ zipper tape / teeth color: black,slider/pull color: x antique copper/ zipper tape / teeth color: black,,,,L1,L1-104-18_LEGACY_4-07-17_TRIMS,,non ykk / 1-way dadhr die cast wire non locking,1 per side = 2,,,0,1,1,0
9192, #5 coil zipper,,,,,hand pockets vertical,,slider/pull color: h6 antique silver/ zipper tape / teeth color: black,slider/pull color: x antique copper/ zipper tape / teeth color: black,slider/pull color: x antique copper/ zipper tape / teeth color: black,slider/pull color: x antique copper/ zipper tape / teeth color: black,,,,L1,L1-104-18_LEGACY_4-07-17_TRIMS,,non ykk / 1-way dadhr die cast wire non locking,1 per side = 2,,,0,1,1,0
9193, #5 coil zipper,,,,,lining pocket vertical,,silder/pull color: h6 antique silver/ zipper tape / teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,,,,L1,L1-104-18_LEGACY_4-07-17_TRIMS,,non ykk / 1-way dadhr die cast wire non locking,1,,,0,1,1,0
9194,additional zipper pulls,,,,,location,,rust / black,ink / gunmetal,black,vintage camo broken twill,,,,L1,L1-104-18_LEGACY_4-07-17_TRIMS,,supplier/ reference number,amount,,,0,1,1,0
9195,"l1-2018-trim-017
l1 zipper pull",,,,,center front,,ykk h6 antique silver,ykk x antique copper,ykk x antique copper,ykk x antique copper,,,,L1,L1-104-18_LEGACY_4-07-17_TRIMS,,ykk,top and bottom pull= 2,,,0,1,1,0
9196,l1-2018-trim-018 / non branded zipper pull faux leather ,,,,,chest pocket (1) hand pockets (2),,brown faux leather,brown faux leather,brown faux leather,brown faux leather,,,,L1,L1-104-18_LEGACY_4-07-17_TRIMS,,please source: same supplier as other faux leather trims,3,,,0,1,1,0
9197, 11nt-045 / self fabric pull ,,,,,underarm vents ,,match to shell,match to shell,match to shell,match to shell,,,,L1,L1-104-18_LEGACY_4-07-17_TRIMS,,factory made,1 per side = 2,,,0,1,1,0
9198, 11nt-045 / self fabric pull ,,,,,lining pocket vertical,,match to shell,match to shell,match to shell,match to shell,,,,L1,L1-104-18_LEGACY_4-07-17_TRIMS,,factory made,1,,,0,1,1,0
