,brand,style,description,ref,position,spec,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,qty,inner,outer,fabric,trims
168,Nitro,N18-105 REDUCE ANORAK,solid 210t ,solis / sonp006-1,sleeves,100% nylon,color,,,,,,0,1,1,0
169,Nitro,N18-105 REDUCE ANORAK,solid 210t ,solis / sonp006-1,pocket bags,100% nylon,color,,,,,,0,1,1,0
170,Nitro,N18-105 REDUCE ANORAK,#5 vislon zipper,ykk / dalh 1-way semi auto locking,center front,,silder/pull color: matte black/ zipper tape &teeth color: matte black,,,,,1,0,1,0,1
171,Nitro,N18-105 REDUCE ANORAK, #5 coil zipper,non ykk / dfw short 1-way non locking,chest pocket vertical,,silder/pull color: matte black/ zipper tape &teeth color: matte black,,,,,1,0,1,0,1
172,Nitro,N18-105 REDUCE ANORAK, #5 coil zipper,non ykk / dfw short 2-way bottom locking,side entry (right),,silder/pull color: matte black/ zipper tape &teeth color: matte black,,,,,1,0,1,0,1
173,Nitro,N18-105 REDUCE ANORAK, #5 coil zipper,non ykk / dfw short 1-way non locking,hand pockets vertical,,silder/pull color: matte black/ zipper tape &teeth color: matte black,,,,,1 per side = 2,0,1,0,1
174,Nitro,N18-105 REDUCE ANORAK,nitro custom pull / n14-trim-139,knk / 3738,center front,,color,,,,,1,0,1,0,1
175,Nitro,N18-105 REDUCE ANORAK,nitro custom pull / n14-trim-139,knk / 3738,chest pocket vertical,,color,,,,,1,0,1,0,1
176,Nitro,N18-105 REDUCE ANORAK,nitro custom pull / n14-trim-139,knk / 3738,side entry (right),,color,,,,,2,0,1,0,1
177,Nitro,N18-105 REDUCE ANORAK,nitro custom pull / n14-trim-139,knk / 3738,hand pockets vertical,,color,,,,,1 per side = 2,0,1,0,1
178,Nitro,N18-105 REDUCE ANORAK,nitro faux suede patch/ n19-trim002,chun wo ho/ m1494817,front left hem,,color,,,,,1,0,1,0,1
179,Nitro,N18-105 REDUCE ANORAK,"nitro embossed 
petersham logo binding tape","chun wo ho
e1342816 20mm",hood and sleeve hems,,color,,,,,3,0,1,0,1
180,Nitro,N18-105 REDUCE ANORAK,8mm metal eyelet,luk's / et04,hem adjust (left side),,color,,,,,2,0,1,0,1
181,Nitro,N18-105 REDUCE ANORAK,thread,spi,supplier/ ref number,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount,0,1,0,1
182,Nitro,N18-106 SUMMIT PACKABLE,brushed tech mesh,supplier / ref code,chin facing,100% polyester,color,,,,,,0,1,1,0
183,Nitro,N18-106 SUMMIT PACKABLE,solid 210t ,solis / sonp006-1,pocket bags (top hand),100% nylon,color,,,,,,0,1,1,0
184,Nitro,N18-106 SUMMIT PACKABLE,mesh,supplier / ref code,pocket bags (palm side),100% polyester,color,,,,,,0,1,1,0
185,Nitro,N18-106 SUMMIT PACKABLE,#5 aquaguard coil zipper with matte transparent film (5cnt10),ykk / dalh/dag 2-way semi auto locking,center front,,silder/pull color: matte black/ zipper tape &teeth color: matte black,,,,,1,0,1,0,1
186,Nitro,N18-106 SUMMIT PACKABLE,#5 coil zipper,non ykk / dfw short 1-way non locking,chest pocket horizontal,,silder/pull color: matte black/ zipper tape &teeth color: matte black,,,,,1,0,1,0,1
